,Beeds Lake,Beeds Lake,Black Hawk,Black Hawk,Brushy Creek,Brushy Creek,Clear Lake,Clear Lake,Denison,Denison,Lower Pine Lake,Lower Pine Lake,North Twin,North Twin,Rock Creek,Rock Creek,Backbone,Backbone,Big Creek,Big Creek,Big Spirit,Big Spirit,West Okoboji,West Okoboji,George Wyth,George Wyth,Green Valley,Green Valley,Rathburn Lake,Rathburn Lake,Lacey Keosauqua,Lacey Keosauqua,Lake Ahquabi,Lake Ahquabi,Lake Anita,Lake Anita,Lake Darling,Lake Darling,Lake Keomah,Lake Keomah,Lake Macbride,Lake Macbride,Lake Manawa,Lake Manawa,Lake of Three Fires,Lake of Three Fires,Lake Wapello,Lake Wapello,Blue Lake,Blue Lake,Nine Eagles,Nine Eagles,Prairie Rose,Prairie Rose,Red Haw,Red Haw,Springbrook,Springbrook,Union Grove,Union Grove,Viking Lake,Viking Lake
Lake Macbride,-0.04,0.89,0.63,0.02,0.84,0.00,0.03,0.93,0.73,0.01,-0.23,0.46,0.92,0.00,0.44,0.13,-0.13,0.67,0.86,0.00,0.44,0.14,-0.24,0.43,0.90,0.00,0.86,0.00,0.78,0.00,0.33,0.27,0.27,0.38,0.87,0.00,0.69,0.01,0.73,0.00,1.00,NA,0.77,0.00,0.64,0.02,0.78,0.00,0.85,0.00,0.42,0.15,0.72,0.01,0.60,0.03,0.71,0.01,0.73,0.00,0.82,0.00
Lake Manawa,0.17,0.57,0.68,0.01,0.71,0.01,0.32,0.29,0.91,0.00,0.17,0.58,0.63,0.02,0.68,0.01,0.01,0.97,0.78,0.00,0.59,0.03,0.16,0.61,0.80,0.00,0.63,0.03,0.53,0.06,0.58,0.04,0.47,0.11,0.57,0.04,0.72,0.01,0.82,0.00,0.77,0.00,1.00,NA,0.62,0.02,0.54,0.05,0.80,0.00,0.54,0.06,0.67,0.01,0.53,0.06,0.34,0.25,0.67,0.01,0.53,0.06
Lake of Three Fires,0.05,0.87,0.87,0.00,0.66,0.01,0.04,0.90,0.79,0.00,0.13,0.68,0.41,0.16,0.36,0.23,0.14,0.64,0.44,0.13,0.47,0.10,-0.11,0.72,0.68,0.01,0.71,0.01,0.38,0.20,0.28,0.35,-0.01,0.96,0.44,0.13,0.54,0.06,0.41,0.16,0.64,0.02,0.62,0.02,1.00,NA,0.34,0.25,0.60,0.03,0.40,0.18,0.82,0.00,0.36,0.23,0.34,0.26,0.74,0.00,0.50,0.08
Lake Wapello,-0.01,0.98,0.31,0.30,0.74,0.00,0.14,0.66,0.48,0.11,-0.18,0.56,0.84,0.00,0.33,0.27,-0.28,0.36,0.73,0.00,0.35,0.24,-0.09,0.77,0.52,0.08,0.43,0.16,0.90,0.00,0.34,0.26,0.21,0.49,0.71,0.01,0.40,0.18,0.63,0.02,0.78,0.00,0.54,0.05,0.34,0.25,1.00,NA,0.69,0.01,0.40,0.17,0.40,0.18,0.58,0.04,0.79,0.00,0.67,0.01,0.89,0.00
Blue Lake,0.03,0.91,0.71,0.01,0.88,0.00,0.10,0.74,0.81,0.00,-0.02,0.95,0.82,0.00,0.49,0.09,-0.10,0.76,0.81,0.00,0.60,0.03,-0.10,0.75,0.91,0.00,0.61,0.04,0.70,0.01,0.32,0.29,0.35,0.24,0.81,0.00,0.47,0.10,0.66,0.01,0.85,0.00,0.80,0.00,0.60,0.03,0.69,0.01,1.00,NA,0.26,0.39,0.63,0.02,0.29,0.35,0.71,0.01,0.87,0.00,0.68,0.01
Nine Eagles,0.24,0.43,0.39,0.19,0.21,0.50,0.60,0.03,0.55,0.07,0.47,0.10,0.23,0.46,0.58,0.04,-0.55,0.05,0.22,0.48,-0.14,0.64,0.47,0.10,0.26,0.41,0.39,0.21,0.40,0.17,0.69,0.01,-0.01,0.97,0.11,0.72,0.26,0.38,0.20,0.52,0.42,0.15,0.54,0.06,0.40,0.18,0.40,0.17,0.26,0.39,1.00,NA,0.45,0.13,0.59,0.03,0.03,0.93,0.34,0.26,0.22,0.47
Prairie Rose,0.00,0.99,0.89,0.00,0.66,0.01,0.03,0.92,0.78,0.00,0.06,0.85,0.47,0.10,0.24,0.43,-0.07,0.81,0.45,0.12,0.38,0.20,-0.18,0.55,0.68,0.01,0.88,0.00,0.47,0.10,0.12,0.71,0.17,0.59,0.54,0.06,0.58,0.04,0.47,0.10,0.72,0.01,0.67,0.01,0.82,0.00,0.40,0.18,0.63,0.02,0.45,0.13,1.00,NA,0.35,0.25,0.34,0.25,0.62,0.02,0.46,0.12
Red Haw,0.41,0.16,0.16,0.61,0.36,0.22,0.50,0.08,0.51,0.09,0.05,0.87,0.59,0.03,0.68,0.01,0.03,0.92,0.52,0.07,0.28,0.36,0.30,0.32,0.30,0.35,0.42,0.17,0.55,0.05,0.72,0.01,-0.01,0.98,0.40,0.17,0.73,0.00,0.56,0.04,0.60,0.03,0.53,0.06,0.36,0.23,0.58,0.04,0.29,0.35,0.59,0.03,0.35,0.25,1.00,NA,0.32,0.29,0.22,0.46,0.59,0.03
Springbrook,-0.10,0.75,0.36,0.23,0.67,0.01,0.00,0.99,0.40,0.20,-0.27,0.37,0.87,0.00,0.21,0.50,-0.06,0.84,0.63,0.02,0.48,0.10,-0.23,0.45,0.65,0.02,0.47,0.13,0.82,0.00,0.08,0.79,0.06,0.85,0.89,0.00,0.25,0.41,0.53,0.06,0.71,0.01,0.34,0.25,0.34,0.26,0.79,0.00,0.71,0.01,0.03,0.93,0.34,0.25,0.32,0.29,1.00,NA,0.67,0.01,0.83,0.00
Union Grove,-0.11,0.73,0.78,0.00,0.80,0.00,0.07,0.83,0.71,0.01,0.02,0.95,0.67,0.01,0.35,0.24,-0.11,0.73,0.70,0.01,0.53,0.06,-0.10,0.75,0.81,0.00,0.54,0.07,0.74,0.00,0.27,0.36,0.20,0.52,0.68,0.01,0.28,0.36,0.49,0.09,0.73,0.00,0.67,0.01,0.74,0.00,0.67,0.01,0.87,0.00,0.34,0.26,0.62,0.02,0.22,0.46,0.67,0.01,1.00,NA,0.71,0.01
Viking Lake,-0.16,0.60,0.36,0.23,0.71,0.01,-0.07,0.81,0.52,0.08,-0.36,0.22,0.89,0.00,0.28,0.35,0.02,0.94,0.82,0.00,0.47,0.10,-0.29,0.33,0.60,0.04,0.54,0.07,0.84,0.00,0.22,0.47,0.18,0.55,0.80,0.00,0.54,0.06,0.72,0.01,0.82,0.00,0.53,0.06,0.50,0.08,0.89,0.00,0.68,0.01,0.22,0.47,0.46,0.12,0.59,0.03,0.83,0.00,0.71,0.01,1.00,NA
