lakeid,year4,daynum,sampledate,depth,cl,so4,ca,mg,na,k,fe,mn
AL,2013,56,2/25/2013,0,0.45,4.36,12.2,3.18,1.61,0.63,0.14,0.02
AL,2013,56,2/25/2013,4,0.48,4.68,13.76,3.59,1.74,0.78,0.13,0.06
AL,2013,56,2/25/2013,4,0.46,4.67,13.9,3.63,1.75,0.78,0.14,0.08
AL,2013,56,2/25/2013,7,0.49,3.32,16.96,4.21,1.78,0.93,2.04,0.56
AL,2013,134,5/14/2013,0,0.57,3.93,12.45,3.19,1.51,0.68,0.19,0.08
AL,2013,134,5/14/2013,0,0.57,3.94,12.36,3.17,1.48,0.66,0.19,0.08
AL,2013,134,5/14/2013,4,0.58,3.94,12.35,3.18,1.47,0.67,0.2,0.08
AL,2013,134,5/14/2013,7,0.58,3.91,12,3.09,1.47,0.65,0.23,0.09
AL,2013,219,8/7/2013,0,0.28,3.57,11.85,3.13,1.56,0.65,0.02,0
AL,2013,219,8/7/2013,0,0.28,3.55,11.87,3.13,1.55,0.63,0.02,0
AL,2013,219,8/7/2013,4,0.29,3.56,11.79,3.11,1.54,0.64,0.02,0
AL,2013,219,8/7/2013,6,0.36,3.08,14.36,3.43,1.63,0.77,0.19,0.11
AL,2013,219,8/7/2013,7,0.38,2.27,15.85,3.59,1.68,0.85,0.26,1.37
AL,2013,311,11/7/2013,0,0.31,3.42,12.33,3.2,1.63,0.69,0.06,0
AL,2013,311,11/7/2013,4,0.32,3.41,12.2,3.2,1.61,0.68,0.05,0
AL,2013,311,11/7/2013,4,0.32,3.44,12.18,3.22,1.62,0.68,0.05,0
AL,2013,311,11/7/2013,7,0.35,3.44,12.33,3.2,1.61,0.67,0.05,0
AL,2014,77,3/18/2014,0,0.6,5.7,13.11,3.91,1.93,0.78,0.15,0.02
AL,2014,77,3/18/2014,4,0.51,3.21,15.66,4,1.63,0.92,1.75,0.65
AL,2014,77,3/18/2014,4,0.5,3.99,13.09,3.49,1.57,0.75,0.21,0.08
AL,2014,77,3/18/2014,7,0.54,4.02,13.21,3.54,1.6,0.75,0.21,0.08
AL,2014,140,5/20/2014,0,0.23,3.12,11.49,3.04,1.03,0.65,0.34,0.03
AL,2014,140,5/20/2014,4,0.24,3.18,11.64,3.04,1.06,0.65,0.35,0.03
AL,2014,140,5/20/2014,4,0.23,3.14,11.49,3.08,1.07,0.65,0.35,0.03
AL,2014,140,5/20/2014,7,0.26,3,12.32,3.16,1.01,0.69,0.54,0.26
AL,2014,224,8/12/2014,0,0.61,3.33,10.89,3.16,1.49,0.61,0.09,0
AL,2014,224,8/12/2014,4,0.61,3.3,10.91,3.16,1.51,0.62,0.09,0.01
AL,2014,224,8/12/2014,6,0.66,2.35,12.94,3.24,1.51,0.77,0.08,0.27
AL,2014,224,8/12/2014,6,0.66,2.35,13.09,3.22,1.5,0.77,0.07,0.26
AL,2014,224,8/12/2014,7,0.69,0.96,14.71,3.39,1.56,0.89,2.3,1.53
AL,2014,307,11/3/2014,0,0.41,4.31,11.76,3.21,1.62,0.67,0.24,0.02
AL,2014,307,11/3/2014,4,0.39,4.46,11.89,3.21,1.64,0.69,0.24,0.02
AL,2014,307,11/3/2014,4,0.54,4.26,11.9,3.19,1.63,0.67,0.24,0.02
AL,2014,307,11/3/2014,7,0.39,4.31,11.8,3.21,1.67,0.7,0.24,0.02
AL,2015,55,2/24/2015,0,0.41,4.45,11.3,3.23,1.57,0.63,0.13,0.02
AL,2015,55,2/24/2015,4,0.39,3.24,11.73,3.28,1.46,0.72,0.26,0.12
AL,2015,55,2/24/2015,7,0.41,0.11,13.01,3.56,1.49,0.83,2.4,0.44
AL,2015,55,2/24/2015,7,0.42,0.11,13.24,3.58,1.49,0.85,3.11,0.5
AL,2015,111,4/21/2015,0,0.34,3.33,14.34,3.23,1.68,0.68,0.46,0.03
AL,2015,111,4/21/2015,4,0.34,3.31,14.42,3.24,1.75,0.71,0.47,0.03
AL,2015,111,4/21/2015,7,0.35,3.32,14.79,3.27,1.79,0.72,0.49,0.04
AL,2015,111,4/21/2015,7,0.5,2.41,14.53,3.26,1.78,0.7,0.47,0.04
AL,2015,222,8/10/2015,0,0.65,3.4,11.41,3.11,1.53,0.57,0.03,0
AL,2015,222,8/10/2015,4,0.65,3.41,11.53,3.12,1.55,0.57,0.04,0
AL,2015,222,8/10/2015,6,0.7,2.76,12.87,3.23,1.56,0.67,0.3,0.02
AL,2015,222,8/10/2015,7,0.8,1.25,14.9,3.39,1.65,0.84,0.47,1.74
AL,2015,222,8/10/2015,7,0.78,1.23,14.96,3.4,1.61,0.84,0.53,1.76
AL,2015,313,11/9/2015,0,0.45,3.34,11.87,3.17,1.53,0.65,0.08,0.02
AL,2015,313,11/9/2015,4,0.46,3.31,12.05,3.18,1.52,0.65,0.08,0.02
AL,2015,313,11/9/2015,7,0.47,3.44,11.56,3.1,1.51,0.63,0.1,0.02
AL,2015,313,11/9/2015,7,0.46,3.36,11.64,3.15,1.62,0.63,0.1,0.02
AL,2016,68,3/8/2016,0,0.56,4.3,12.27,3.41,,0.7,0.13,0.02
AL,2016,68,3/8/2016,4,0.52,3.52,12.51,3.35,,0.73,0.16,0.06
AL,2016,68,3/8/2016,4,0.51,3.51,12.31,3.36,,0.73,0.16,0.06
AL,2016,68,3/8/2016,6,0.56,3.28,13.22,3.5,,0.76,0.28,0.2
AL,2016,116,4/25/2016,0,0.52,3.62,12.51,3.15,,0.65,0.18,0.02
AL,2016,116,4/25/2016,4,0.53,3.62,12.56,3.16,,0.66,0.21,0.02
AL,2016,116,4/25/2016,4,0.52,3.58,12.5,3.18,,0.65,0.19,0.02
AL,2016,116,4/25/2016,7,0.56,2.94,15.72,3.74,,0.82,2.28,0.53
AL,2016,231,8/18/2016,0,0.34,3.41,12.12,3.24,,0.56,0.03,0
AL,2016,231,8/18/2016,2,0.34,3.39,12.26,3.24,,0.56,0.03,0
AL,2016,231,8/18/2016,4,0.35,3.35,12.41,3.23,,0.58,0.09,0.01
AL,2016,231,8/18/2016,4,0.34,3.35,12.38,3.25,,0.58,0.1,0.02
AL,2016,231,8/18/2016,7,0.44,1.29,17.02,3.72,,0.9,7.5,2.07
AL,2016,315,11/10/2016,0,0.37,2.91,13.22,3.36,,0.69,0.24,0.03
AL,2016,315,11/10/2016,4,0.36,2.9,13.09,3.32,,0.68,0.24,0.03
AL,2016,315,11/10/2016,4,0.37,2.91,13.17,3.34,,0.68,0.23,0.03
AL,2016,315,11/10/2016,7,0.37,2.91,13.14,3.33,,0.68,0.23,0.03
AL,2017,51,2/20/2017,0,0.58,4.04,12.34,3.25,1.7,0.65,0.16,0.02
AL,2017,51,2/20/2017,4,0.54,3.28,13.18,3.39,1.63,0.71,0.22,0.07
AL,2017,51,2/20/2017,4,0.54,3.27,13.23,3.4,1.65,0.71,0.23,0.08
AL,2017,51,2/20/2017,7,0.53,2.94,13.92,3.5,1.65,0.75,0.23,0.08
AL,2017,107,4/17/2017,0,0.48,3.08,11.01,2.95,1.37,0.64,0.33,0.05
AL,2017,107,4/17/2017,0,0.47,3.03,10.87,2.92,1.35,0.62,0.33,0.04
AL,2017,107,4/17/2017,4,0.47,3.04,11.03,2.96,1.37,0.64,0.34,0.05
AL,2017,107,4/17/2017,7,0.48,3.03,10.91,2.93,1.34,0.62,0.33,0.05
AL,2017,220,8/8/2017,0,0.41,2.77,11.55,3.09,1.61,0.49,0.05,0
AL,2017,220,8/8/2017,4,0.39,2.76,11.56,3.1,1.55,0.5,0.06,0.02
AL,2017,220,8/8/2017,6,0.46,2.4,12.37,3.13,1.67,0.68,0.16,0.7
AL,2017,220,8/8/2017,7,0.48,0.68,15.6,3.44,1.55,0.76,10.23,0.93
AL,2017,220,8/8/2017,7,0.48,0.68,15.83,3.49,1.65,0.79,10.23,0.95
AL,2017,311,11/7/2017,0,0.48,3.05,11.22,3.07,1.48,0.66,0.2,0
AL,2017,311,11/7/2017,0,0.48,2.93,11.2,3.06,1.47,0.64,0.21,0
AL,2017,311,11/7/2017,4,0.48,2.94,11.4,3.05,1.46,0.64,0.2,0
AL,2017,311,11/7/2017,7,0.49,3.14,11.35,3.04,1.41,0.67,0.2,0
AL,2018,53,2/22/2018,0,0.67,4.44,13.13,3.54,2.02,0.74,0.19,0.02
AL,2018,53,2/22/2018,4,0.65,3.49,13.42,3.58,1.96,0.87,0.3,0.08
AL,2018,53,2/22/2018,4,0.66,3.58,13.64,3.59,2.02,0.86,0.32,0.08
AL,2018,53,2/22/2018,7,0.66,3.05,15.94,4.21,2.2,1.06,1.85,0.45
AL,2018,134,5/14/2018,0,0.44,3.05,11.21,2.98,1.51,0.65,0.21,0.02
AL,2018,134,5/14/2018,0,0.43,3.04,11.21,2.91,1.44,0.64,0.18,0.02
AL,2018,134,5/14/2018,4,0.42,3.03,11.14,2.93,1.46,0.64,0.23,0.01
AL,2018,134,5/14/2018,7,0.47,2.87,13.92,3.53,1.64,0.8,1.27,0.52
AL,2018,220,8/8/2018,0,0.51,3.03,10.99,2.98,1.52,0.57,0.01,0
AL,2018,220,8/8/2018,0,0.5,3.03,11.17,2.99,1.49,0.58,0.01,0
AL,2018,220,8/8/2018,2,0.5,3.03,11.13,3,1.5,0.57,0.02,0
AL,2018,220,8/8/2018,6,0.54,2.89,11.77,3.09,1.59,0.6,0.08,0
AL,2018,220,8/8/2018,7,0.62,0.44,17.32,3.83,1.82,1.05,14.34,1.54
AL,2018,309,11/5/2018,0,0.43,3.01,11.37,3.03,1.38,0.65,0.44,0.06
AL,2018,309,11/5/2018,0,0.44,3.03,11.47,3.05,1.39,0.65,0.44,0.06
AL,2018,309,11/5/2018,4,0.44,3.02,11.51,3.04,1.39,0.65,0.44,0.06
AL,2018,309,11/5/2018,7,0.43,3,11.35,3.05,1.38,0.65,0.43,0.06
BM,2013,53,2/22/2013,0,0.55,3.58,7.4,2.24,1.11,0.48,0.03,0
BM,2013,53,2/22/2013,0,0.55,3.58,7.38,2.26,1.11,0.48,0.03,0
BM,2013,53,2/22/2013,10,0.5,3.21,7.06,2.11,1.02,0.44,0.05,0.01
BM,2013,53,2/22/2013,18,0.56,1.41,9.29,2.4,1.07,0.58,0.27,0.09
BM,2013,135,5/15/2013,0,0.65,3.2,6.63,1.99,0.94,0.4,0,0
BM,2013,135,5/15/2013,10,0.63,3.18,6.65,1.99,0.94,0.4,0,0
BM,2013,135,5/15/2013,10,0.71,3.22,7.16,2.07,1.01,0.44,0,0
BM,2013,135,5/15/2013,18,0.64,3.15,7.11,2.07,1,0.44,0,0
BM,2013,219,8/7/2013,0,0.39,2.98,6.56,1.93,0.98,0.41,0,0
BM,2013,219,8/7/2013,5,0.4,2.95,6.67,1.95,1.02,0.45,0,0
BM,2013,219,8/7/2013,10,0.49,3.01,6.67,1.96,1.02,0.44,0,0
BM,2013,219,8/7/2013,12,0.45,3.15,6.93,1.99,1.02,0.43,0.01,0.01
BM,2013,219,8/7/2013,16,0.48,2.78,7.81,2.08,1.04,0.49,0.09,0.04
BM,2013,219,8/7/2013,18,0.58,2.7,8.04,2.08,1.05,0.5,0.14,0.05
BM,2013,219,8/7/2013,19,0.47,2.72,8.08,2.08,1.04,0.49,0.13,0.05
BM,2013,318,11/14/2013,0,0.41,2.95,6.66,2,1.02,0.41,0,0
BM,2013,318,11/14/2013,10,0.42,2.93,6.66,2.01,1.01,0.41,0,0
BM,2013,318,11/14/2013,10,0.43,2.93,6.65,2,1.01,0.4,0,0
BM,2013,318,11/14/2013,19,0.22,1.67,6.61,1.99,1.01,0.41,0,0
BM,2014,63,3/4/2014,0,0.54,3.64,6.82,2.18,0.93,0.45,0,0
BM,2014,63,3/4/2014,0,0.58,3.59,7.29,2.21,0.91,0.45,0,0
BM,2014,63,3/4/2014,10,0.54,3.42,7.07,2.12,0.85,0.44,0.03,0
BM,2014,63,3/4/2014,19,0.62,1.67,9.66,2.46,0.91,0.61,1.45,0.1
BM,2014,140,5/20/2014,0,0.3,2.89,6.76,1.98,0.5,0.37,0.01,0
BM,2014,140,5/20/2014,10,0.29,2.87,6.72,1.97,0.51,0.38,0.02,0
BM,2014,140,5/20/2014,10,0.3,2.9,6.74,1.98,0.47,0.37,0.01,0
BM,2014,140,5/20/2014,18,0.29,2.92,6.67,1.97,0.5,0.37,0.01,0
BM,2014,223,8/11/2014,0,0.68,3,6.4,1.99,0.96,0.42,0.02,0
BM,2014,223,8/11/2014,0,0.67,3,6.43,2.01,0.97,0.43,0.02,0
BM,2014,223,8/11/2014,5,0.69,3.01,6.45,2,0.96,0.42,0.02,0
BM,2014,223,8/11/2014,10,0.7,2.98,6.41,1.96,0.96,0.41,0.02,0
BM,2014,223,8/11/2014,12,0.73,2.99,6.66,1.99,0.97,0.43,0.02,0
BM,2014,223,8/11/2014,16,0.74,2.81,7.11,2.01,0.98,0.47,0.04,0.03
BM,2014,223,8/11/2014,18,0.73,2.71,7.11,2.03,0.99,0.49,0.07,0.08
BM,2014,309,11/5/2014,0,0.44,3.51,6.58,2.02,1.02,0.43,0.01,0
BM,2014,309,11/5/2014,10,0.44,3.56,6.63,2.03,1.03,0.44,0.01,0
BM,2014,309,11/5/2014,10,0.43,3.47,6.62,2.03,1.04,0.42,0.01,0
BM,2014,309,11/5/2014,18,0.5,3.5,6.72,2.03,1.08,0.48,0.01,0
BM,2015,62,3/3/2015,0,0.47,3.41,6.71,2.22,1,0.47,0.01,0
BM,2015,62,3/3/2015,10,0.41,2.87,6.21,1.97,0.88,0.41,0.03,0
BM,2015,62,3/3/2015,18,0.44,0.11,7.13,1.95,0.92,0.45,0.88,0.08
BM,2015,62,3/3/2015,18,0.43,1.37,7.08,2.01,0.9,0.48,0.88,0.08
BM,2015,113,4/23/2015,0,0.23,1.91,7.99,2.07,1.13,0.45,0.01,0
BM,2015,113,4/23/2015,10,0.37,2.88,8.09,2.07,1.16,0.44,0.01,0
BM,2015,113,4/23/2015,10,0.41,2.88,8.23,2.07,1.16,0.45,0.01,0
BM,2015,113,4/23/2015,18,0.38,2.88,8.19,2.08,1.18,0.45,0.01,0
BM,2015,224,8/12/2015,0,0.67,3.08,6.43,1.93,0.95,0.39,0,0
BM,2015,224,8/12/2015,8,0.69,3.09,6.4,1.92,0.95,0.39,0,0
BM,2015,224,8/12/2015,12,0.84,3.16,6.52,1.92,0.95,0.4,0,0
BM,2015,224,8/12/2015,12,0.72,3.14,6.51,1.93,0.96,0.4,0,0
BM,2015,224,8/12/2015,16,0.75,2.81,7.19,2,0.99,0.46,0.02,0.03
BM,2015,224,8/12/2015,18,0.76,2.58,7.77,2.01,1.01,0.46,0.44,0.09
BM,2015,314,11/10/2015,0,0.5,3.01,6.33,1.96,0.93,0.4,0.01,0
BM,2015,314,11/10/2015,10,0.49,3.08,6.35,1.97,0.95,0.4,0.01,0
BM,2015,314,11/10/2015,10,0.48,3.01,6.36,1.96,0.94,0.4,0.01,0
BM,2015,314,11/10/2015,18,0.49,2.99,6.27,1.94,0.93,0.39,0.01,0
BM,2016,64,3/4/2016,0,0.56,3.3,6.8,2.18,,0.46,0,0
BM,2016,64,3/4/2016,0,0.56,3.29,6.84,2.19,,0.46,0,0
BM,2016,64,3/4/2016,10,0.65,2.94,6.73,2.1,,0.45,0.02,0
BM,2016,64,3/4/2016,18,0.62,1.96,7.84,2.24,,0.5,0.37,0.05
BM,2016,118,4/27/2016,0,0.56,3.06,6.69,1.96,,0.39,0,0
BM,2016,118,4/27/2016,0,0.56,3.02,6.73,1.96,,0.39,0,0
BM,2016,118,4/27/2016,10,0.55,3.06,6.7,1.96,,0.39,0,0
BM,2016,118,4/27/2016,18,0.59,3.14,6.71,1.97,,0.39,0,0
BM,2016,229,8/16/2016,0,0.39,2.99,6.69,2.02,,0.41,0.01,0
BM,2016,229,8/16/2016,0,0.39,3.01,6.69,2.02,,0.41,0,0
BM,2016,229,8/16/2016,5,0.39,2.99,6.74,2.04,,0.42,0,0
BM,2016,229,8/16/2016,10,0.41,3.09,7.05,2.05,,0.43,0,0
BM,2016,229,8/16/2016,12,0.45,3.2,7.33,2.09,,0.43,0,0
BM,2016,229,8/16/2016,16,0.48,3.03,8.09,2.14,,0.48,0.05,0.07
BM,2016,229,8/16/2016,18,0.47,2.87,8.57,2.13,,0.49,0.46,0.1
BM,2016,316,11/11/2016,0,0.39,2.77,7.36,2.09,,0.42,0,0
BM,2016,316,11/11/2016,0,0.39,2.77,7.35,2.09,,0.42,0,0
BM,2016,316,11/11/2016,10,0.39,2.76,7.32,2.09,,0.42,0,0
BM,2016,316,11/11/2016,18,0.4,2.76,7.28,2.08,,0.42,0.01,0
BM,2017,52,2/21/2017,0,0.57,3.11,7.22,2.15,1.04,0.44,0,0
BM,2017,52,2/21/2017,10,0.53,2.77,7.15,2.09,0.98,0.42,0.01,0
BM,2017,52,2/21/2017,10,0.53,2.79,7.1,2.08,0.97,0.42,0,0
BM,2017,52,2/21/2017,18,0.55,1.7,8.43,2.24,1.02,0.48,0.18,0.05
BM,2017,109,4/19/2017,0,0.49,2.74,6.68,1.96,0.87,0.41,0,0
BM,2017,109,4/19/2017,10,0.48,2.72,6.58,1.93,0.84,0.39,0,0
BM,2017,109,4/19/2017,18,0.48,2.73,6.61,1.95,0.83,0.39,0,0
BM,2017,109,4/19/2017,18,0.51,2.82,6.55,1.93,0.83,0.39,0,0
BM,2017,219,8/7/2017,0,0.45,2.54,6.79,2.05,1,0.32,0.01,0
BM,2017,219,8/7/2017,5,0.45,2.54,6.79,2.06,1.09,0.31,0,0
BM,2017,219,8/7/2017,8,0.45,2.46,6.8,2.03,0.96,0.3,0,0
BM,2017,219,8/7/2017,8,0.44,2.46,6.83,2.03,1,0.32,0,0
BM,2017,219,8/7/2017,12,0.49,2.65,7.33,2.08,1.05,0.35,0.01,0
BM,2017,219,8/7/2017,16,0.5,2.47,7.98,2.12,0.93,0.36,0.02,0.01
BM,2017,219,8/7/2017,18,0.51,2.36,8.2,2.14,1.01,0.38,0.04,0.05
BM,2017,312,11/8/2017,0,0.49,2.81,6.93,2.03,0.91,0.41,0,0
BM,2017,312,11/8/2017,10,0.5,2.82,6.91,2,0.88,0.42,0,0
BM,2017,312,11/8/2017,10,0.5,2.79,6.94,2.02,0.89,0.41,0,0
BM,2017,312,11/8/2017,18,0.5,2.8,6.93,2.02,0.89,0.42,0,0
BM,2018,51,2/20/2018,0,0.67,3.2,8.14,2.34,1.04,0.46,0.02,0
BM,2018,51,2/20/2018,10,0.64,2.93,7.68,2.29,1.05,0.48,0.01,0
BM,2018,51,2/20/2018,10,0.64,2.98,7.68,2.3,1.06,0.49,0.02,0
BM,2018,51,2/20/2018,18,0.67,2.15,8.59,2.43,1.07,0.57,0.34,0.05
BM,2018,136,5/16/2018,0,0.43,2.53,6.74,1.98,0.95,0.43,0,0
BM,2018,136,5/16/2018,10,0.43,2.55,6.86,2.01,0.95,0.42,0.01,0
BM,2018,136,5/16/2018,18,0.45,2.61,6.91,2.02,0.97,0.43,0.02,0
BM,2018,136,5/16/2018,18,0.45,2.61,6.93,2.02,0.96,0.43,0.02,0
BM,2018,218,8/6/2018,0,0.55,2.57,6.71,2.03,1.04,0.45,0.01,0
BM,2018,218,8/6/2018,5,0.57,5.58,6.76,2.03,1.07,0.46,0,0
BM,2018,218,8/6/2018,8,0.57,2.63,7.12,2.1,1.06,0.43,0,0
BM,2018,218,8/6/2018,8,0.58,2.63,6.99,2.09,1.06,0.43,0.01,0
BM,2018,218,8/6/2018,10,0.6,2.67,7.14,2.06,1.02,0.44,0.01,0
BM,2018,218,8/6/2018,16,0.62,2.68,7.57,2.1,1.05,0.48,0.06,0.02
BM,2018,218,8/6/2018,18,0.64,2.59,7.97,2.13,1.06,0.49,0.18,0.04
BM,2018,310,11/6/2018,0,0.58,2.71,6.59,2.01,0.9,0.41,0.01,0
BM,2018,310,11/6/2018,10,0.6,2.67,6.48,1.97,0.87,0.41,0.01,0
BM,2018,310,11/6/2018,10,0.58,2.69,6.54,1.99,0.88,0.4,0.01,0
BM,2018,310,11/6/2018,18,0.61,2.69,6.47,1.97,0.88,0.41,0.01,0
CB,2013,49,2/18/2013,0,0.32,0.72,0.87,0.28,0.27,0.5,0.34,0.03
CB,2013,49,2/18/2013,0,0.32,0.72,0.88,0.28,0.26,0.5,0.34,0.03
CB,2013,49,2/18/2013,2,0.31,0.36,1.01,0.23,0.24,0.45,0.5,0.03
CB,2013,133,5/13/2013,0,0.4,0.67,0.59,0.14,0.19,0.32,0.18,0.02
CB,2013,133,5/13/2013,2,0.46,0.78,0.93,0.2,0.24,0.45,0.43,0.03
CB,2013,133,5/13/2013,2,0.45,0.77,0.97,0.21,0.24,0.45,0.44,0.03
CB,2013,217,8/5/2013,0,0.11,0.28,0.53,0.21,0.25,0.25,0.28,0.02
CB,2013,217,8/5/2013,0,0.2,0.32,0.52,0.2,0.24,0.34,0.28,0.02
CB,2013,217,8/5/2013,2,0.33,0.67,2.33,0.28,0.4,0.4,1.02,0.04
CB,2013,311,11/7/2013,0,0.16,0.39,0.68,0.21,0.3,0.41,0.27,0.02
CB,2013,311,11/7/2013,0,0.15,0.38,0.68,0.21,0.31,0.4,0.27,0.02
CB,2013,311,11/7/2013,2,0.16,0.38,0.68,0.21,0.3,0.4,0.27,0.03
CB,2014,51,2/20/2014,0,0.33,0.64,0.47,0.22,0.07,0.45,0.35,0.03
CB,2014,51,2/20/2014,2,0.41,0.43,1.15,0.23,0.09,0.5,0.55,0.03
CB,2014,51,2/20/2014,2,0.3,0.41,1.12,0.22,0.07,0.48,0.55,0.03
CB,2014,141,5/21/2014,0,0.04,0.33,0.57,0.16,-0.25,0.33,0.23,0.02
CB,2014,141,5/21/2014,0,0.07,0.33,0.56,0.16,-0.27,0.33,0.23,0.02
CB,2014,141,5/21/2014,2,0.09,0.43,0.86,0.23,-0.23,0.49,0.52,0.03
CB,2014,225,8/13/2014,0,0.39,0.11,0.44,0.18,0.22,0.28,0.22,0.02
CB,2014,225,8/13/2014,0,0.39,0.11,0.45,0.18,0.22,0.28,0.22,0.02
CB,2014,225,8/13/2014,2,0.55,0.58,2.16,0.31,0.29,1.05,0.94,0.04
CB,2014,308,11/4/2014,0,0.2,0.54,0.59,0.2,0.22,0.43,0.27,0.02
CB,2014,308,11/4/2014,0,0.2,0.48,0.57,0.2,0.23,0.43,0.27,0.02
CB,2014,308,11/4/2014,2,0.46,0.59,0.57,0.2,0.21,0.43,0.28,0.02
CB,2015,65,3/6/2015,0,0.19,0.43,0.43,0.22,0.22,0.48,0.34,0.03
CB,2015,65,3/6/2015,0,0.19,0.11,0.42,0.22,0.23,0.51,0.34,0.03
CB,2015,65,3/6/2015,2,0.21,0.14,0.89,0.2,0.22,0.51,0.45,0.02
CB,2015,110,4/20/2015,0,0.14,0.35,0.68,0.17,0.19,0.37,0.27,0.02
CB,2015,110,4/20/2015,0,0.16,0.37,0.71,0.17,0.2,0.37,0.28,0.02
CB,2015,110,4/20/2015,2,0.1,0.4,1.39,0.22,0.24,0.53,0.54,0.03
CB,2015,224,8/12/2015,0,0.47,0.45,0.44,0.15,0.16,0.25,0.18,0.01
CB,2015,224,8/12/2015,0,0.51,0.45,0.45,0.15,0.15,0.25,0.18,0.02
CB,2015,224,8/12/2015,2,0.59,0.76,1.16,0.21,0.21,0.6,0.7,0.03
CB,2015,313,11/9/2015,0,0.24,0.3,0.64,0.18,0.44,0.33,0.21,0.02
CB,2015,313,11/9/2015,0,0.25,0.33,0.53,0.17,0.18,0.34,0.2,0.02
CB,2015,313,11/9/2015,2,0.24,0.3,0.52,0.17,0.18,0.35,0.19,0.02
CB,2016,55,2/24/2016,0,0.32,0.45,0.5,0.19,,0.4,0.29,0.02
CB,2016,55,2/24/2016,0,0.31,0.49,0.48,0.2,,0.41,0.29,0.02
CB,2016,55,2/24/2016,2,0.18,0.4,0.79,0.2,,0.41,0.42,0.02
CB,2016,113,4/22/2016,0,0.32,0.3,0.44,0.12,,0.25,0.2,0.01
CB,2016,113,4/22/2016,0,0.3,0.29,0.43,0.12,,0.25,0.2,0.01
CB,2016,113,4/22/2016,2,0.38,0.38,0.93,0.17,,0.38,0.48,0.02
CB,2016,230,8/17/2016,0,0.16,0.31,0.46,0.18,,0.15,0.22,0.02
CB,2016,230,8/17/2016,0,0.15,0.34,0.46,0.17,,0.15,0.21,0.02
CB,2016,230,8/17/2016,2,0.26,0.75,1.6,0.22,,0.76,0.7,0.03
CB,2016,315,11/10/2016,0,0.12,0.36,0.65,0.2,,0.3,0.23,0.02
CB,2016,315,11/10/2016,2,0.16,0.43,0.65,0.2,,0.3,0.22,0.02
CB,2016,315,11/10/2016,2,0.16,0.43,0.65,0.2,,0.31,0.23,0.02
CB,2017,54,2/23/2017,0,0.31,0.69,0.68,0.18,0.19,0.38,0.22,0.02
CB,2017,54,2/23/2017,0,0.32,0.7,0.67,0.17,0.18,0.36,0.22,0.02
CB,2017,54,2/23/2017,2,0.3,0.28,0.75,0.16,0.16,0.39,0.4,0.02
CB,2017,108,4/18/2017,0,0.25,0.42,0.5,0.12,0.04,0.29,0.23,0.02
CB,2017,108,4/18/2017,0,0.25,0.43,0.51,0.13,0.05,0.31,0.24,0.02
CB,2017,108,4/18/2017,2,0.3,0.46,0.66,0.16,0.08,0.38,0.39,0.02
CB,2017,219,8/7/2017,0,0.21,0.42,0.43,0.15,0,0.09,0.19,0.01
CB,2017,219,8/7/2017,2,0.23,0.42,0.53,0.17,0.02,0.33,0.35,0.02
CB,2017,219,8/7/2017,2,0.23,0.41,0.45,0.17,0.03,0.25,0.28,0.02
CB,2017,310,11/6/2017,0,0,1,0.58,0.17,0.08,0.28,0.18,0.02
CB,2017,310,11/6/2017,2,0,1,0.61,0.17,0.07,0.28,0.19,0.02
CB,2017,310,11/6/2017,2,0,1,0.59,0.17,0.08,0.28,0.18,0.02
CB,2018,54,2/23/2018,0,0.44,0.79,0.49,0.2,0.17,0.39,0.3,0.02
CB,2018,54,2/23/2018,0,0.43,0.78,0.49,0.2,0.18,0.41,0.3,0.02
CB,2018,54,2/23/2018,2,0.43,0.65,0.83,0.19,0.17,0.41,0.45,0.02
CB,2018,134,5/14/2018,0,0.21,0.34,0.45,0.13,0.12,0.25,0.16,0.02
CB,2018,134,5/14/2018,0,0.21,0.33,0.49,0.13,0.13,0.13,0.16,0.02
CB,2018,134,5/14/2018,2,0.41,0.41,0.82,0.2,0.18,0.47,0.46,0.02
CB,2018,219,8/7/2018,0,0.35,0.5,0.49,0.11,0.15,0.24,0.14,0.01
CB,2018,219,8/7/2018,2,0.4,0.47,0.43,0.17,0.2,0.37,0.59,0.02
CB,2018,219,8/7/2018,2,0.44,0.51,0.57,0.18,0.22,0.48,0.66,0.03
CB,2018,309,11/5/2018,0,0.22,0.55,0.55,0.17,0.13,0.3,0.19,0.02
CB,2018,309,11/5/2018,2,0.23,0.56,0.57,0.16,0.13,0.29,0.19,0.02
CB,2018,309,11/5/2018,2,0.22,0.56,0.56,0.17,0.13,0.3,0.19,0.02
CR,2013,57,2/26/2013,0,0.68,2.78,1.31,0.31,0.44,0.43,0.02,0.01
CR,2013,57,2/26/2013,10,0.57,2.34,1.1,0.26,0.37,0.35,0.02,0.03
CR,2013,57,2/26/2013,17,0.58,2.13,1.16,0.28,0.38,0.37,0.08,0.14
CR,2013,57,2/26/2013,17,0.57,2.16,1.16,0.28,0.38,0.37,0.08,0.14
CR,2013,134,5/14/2013,0,0.69,2.29,1.15,0.24,0.36,0.34,0,0.01
CR,2013,134,5/14/2013,10,0.69,2.32,1.17,0.24,0.37,0.37,0,0.01
CR,2013,134,5/14/2013,10,0.7,2.33,1.13,0.23,0.38,0.32,0,0.02
CR,2013,134,5/14/2013,18,0.72,2.43,1.21,0.25,0.39,0.34,0,0.07
